Name,Nickname,URL,Division,Record,Status,Place of Birth,Trains at,Age,Height,Weight,Octagon Debut,Reach,Sig. Strikes Landed,Sig. Strikes Attempted,Takedowns Landed,Takedowns Attempted,Sig. Str. Landed Per Min,Sig. Str. Absorbed Per Min,Takedown avg Per 15 Min,Submission avg Per 15 Min,Sig. Str. Defense,Takedown Defense,Knockdown Avg,Average fight time,Standing,Clinch,Ground,KO/TKO,DEC,SUB,head total,head percent,body total,body percent,leg total,leg percent,First Round Finishes,Fighting style,Leg reach,wins,losses,draws
Heather Jo Clark,Hurricane,https://www.ufc.com/athlete/heather-jo-clark,Women's Strawweight Division,7-6-0 (W-L-D),Not Fighting,"Los Angeles, United States","Xtreme Couture - Las Vegas, NV",42,66.00,116.00,"Dec. 12, 2014",64.00,166,338,1,24,3.69,5.62,0.33,0.33,51%,80%,0.00,900,116,44,6,2,2,3,96,58%,48,29%,22,13%,NA,,38.00,7,6,0
Devin Clark,Brown Bear,https://www.ufc.com/athlete/devin-clark,Light Heavyweight Division,14-7-0 (W-L-D),Active,"Sioux Falls, United States",Next Edge Academy,32,72.00,204.50,"Jul. 14, 2016",75.00,499,900,13,79,2.91,2.71,2.36,0.09,45%,59%,0.26,685,244,155,100,4,8,1,267,54%,140,28%,92,18%,2,Wrestler,41.00,14,7,0
Mitch Clarke,Danger Zone,https://www.ufc.com/athlete/mitch-clarke,Lightweight Division,11-5-0 (W-L-D),Retired,"Saskatoon, Canada","Complete Fitness- St, Alberta/ MMA Lab- Glendale, AZ",37,70.00,155.50,"Dec. 10, 2011",73.00,166,488,3,20,2.35,3.27,0.64,0.43,48%,50%,0.00,605,124,38,4,1,3,7,82,49%,31,19%,53,32%,NA,,40.00,11,5,0
Rich Clementi,No Love,https://www.ufc.com/athlete/rich-clementi,Lightweight Division,40-14-1 (W-L-D),Not Fighting,"Edison, United States",,46,69.00,156.00,"Feb. 28, 2003",,171,459,,33,1.56,2.56,1.92,1.10,61%,26%,0.00,657,117,31,23,0,0,0,95,56%,27,16%,49,29%,NA,,,40,14,1
Chris Clements,The Menace,https://www.ufc.com/athlete/chris-clements,Welterweight Division,12-5-0 (W-L-D),Not Fighting,Canada,,47,70.00,170.00,"Apr. 21, 2012",70.00,165,331,,2,3.20,2.37,0.00,0.29,45%,32%,0.58,619,108,39,18,11,1,0,77,47%,46,28%,42,25%,NA,,,12,5,0
Mark Climaco,,https://www.ufc.com/athlete/mark-climaco,Flyweight Division,0-0-0 (W-L-D),Active,"Hayward, United States",,25,,,"Apr. 20, 2023",,,,,,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0%,0,0%,0,0%,NA,,,0,0,0
Josh Clopton,The Gentleman,https://www.ufc.com/athlete/josh-clopton,Featherweight Division,6-2-1 (W-L-D),Not Fighting,United States,,41,66.00,145.00,"Dec. 04, 2011",68.00,48,75,,6,1.60,2.87,2.00,0.00,50%,75%,0.00,900,20,20,8,0,0,0,22,46%,14,29%,12,25%,NA,,,6,2,1
Brian Cobb,The Bandit,https://www.ufc.com/athlete/brian-cobb,Lightweight Division,15-5-0 (W-L-D),Not Fighting,"Bakersfield, United States",,,71.00,155.00,"Feb. 21, 2009",,0,13,,4,0.00,3.68,5.81,0.00,56%,NA,0.00,310,0,0,0,0,0,0,0,0%,0,0%,0,0%,NA,,,15,5,0
John Cofer,,https://www.ufc.com/athlete/john-cofer,Lightweight Division,7-4-0 (W-L-D),Not Fighting,"Savannah, United States",,38,69.00,156.00,"Jun. 02, 2012",,67,160,,4,2.73,3.43,1.22,0.00,62%,64%,0.00,735,51,12,4,0,0,0,39,58%,20,30%,8,12%,NA,,,7,4,0
Felipe Colares,Cabocao,https://www.ufc.com/athlete/felipe-colares,Featherweight Division,10-4-0 (W-L-D),Not Fighting,"Macapá, Brazil",,28,68.00,145.00,"Feb. 02, 2019",69.50,191,422,3,45,2.17,4.65,1.88,0.51,37%,43%,0.00,880,147,20,24,2,3,5,116,61%,61,32%,14,7%,NA,Jiu-Jitsu,39.00,10,4,0
Mark Coleman,The Hammer,https://www.ufc.com/athlete/mark-coleman,Light Heavyweight Division,16-10-0 (W-L-D),Not Fighting,"Fremont, United States",,58,73.00,205.00,"Jul. 12, 1996",,145,274,,50,1.88,2.62,3.89,0.78,40%,50%,0.00,420,36,10,99,0,0,0,106,73%,34,23%,5,3%,NA,,,16,10,0
Clay Collard,Cassius,https://www.ufc.com/athlete/clay-collard,Featherweight Division,14-7-0 (W-L-D),Not Fighting,"Payson, United States",,29,71.00,146.00,"Aug. 23, 2014",73.00,248,770,11,28,4.22,5.00,2.81,0.51,51%,71%,0.51,882,184,39,25,10,5,3,147,59%,51,21%,50,20%,NA,,41.00,14,7,0
Jamie Colleen,,https://www.ufc.com/athlete/jamie-colleen,Women's Strawweight Division,4-2-0 (W-L-D),Active,"Huntington, United States",,37,63.00,115.50,"Aug. 15, 2017",65.00,90,146,,3,3.11,5.66,0.52,1.55,33%,50%,0.00,869,48,33,9,3,0,1,41,46%,44,49%,5,6%,NA,,,4,2,0
Jake Collier,The Prototype,https://www.ufc.com/athlete/jake-collier,Heavyweight Division,13-8-0 (W-L-D),Active,"St. Louis, United States","The Pit - Cuba, MO",34,75.00,265.00,"Dec. 20, 2014",78.50,681,1557,3,20,5.75,4.82,0.89,0.51,51%,68%,0.38,593,581,72,28,5,4,4,458,67%,125,18%,98,14%,7,Freestyle,43.50,13,8,0
Christian Colombo,Godzilla,https://www.ufc.com/athlete/christian-colombo,Heavyweight Division,8-3-1 (W-L-D),Not Fighting,"Copenhagen, Denmark",,43,77.00,258.00,"Sep. 03, 2016",80.50,81,181,,1,2.76,4.02,0.00,0.00,42%,33%,0.00,587,40,39,2,6,2,0,51,63%,21,26%,9,11%,NA,,48.50,8,3,1
Wes Combs,The Soldier,https://www.ufc.com/athlete/wes-combs,Light Heavyweight Division,12-2-0 (W-L-D),Not Fighting,"Rancho Cucamonga, United States",,49,74.00,205.00,"Jun. 24, 2006",,14,29,,,2.14,4.73,0.00,0.00,46%,NA,0.00,197,12,2,0,0,0,0,3,21%,1,7%,10,71%,NA,,,12,2,0
Carlos Condit,The Natural Born Killer,https://www.ufc.com/athlete/carlos-condit,Welterweight Division,32-14-0 (W-L-D),Retired,"Albuquerque, United States",Joel Diaz Boxing,38,74.00,171.00,"Apr. 01, 2009",75.50,1113,2849,7,26,3.66,2.67,0.59,0.99,55%,39%,0.39,730,839,107,167,15,4,13,623,56%,234,21%,256,23%,NA,Grappler,44.00,32,14,0
Chris Condo,,https://www.ufc.com/athlete/chris-condo,Heavyweight Division,0-0-0 (W-L-D),Not Fighting,United States,,,0.00,0.00,"May. 07, 1999",,,,,,,,,,,,,0,,,,,,,NA,NA,NA,NA,NA,NA,NA,,,0,0,0
Tristan Connelly,Boondock,https://www.ufc.com/athlete/tristan-connelly,Featherweight Division,14-8-0 (W-L-D),Not Fighting,"Victoria, Canada",Checkmat Vancouver,37,70.00,146.00,"Apr. 20, 2023",68.00,149,292,,7,3.31,2.96,0.33,0.33,51%,60%,0.00,900,79,39,31,4,1,9,109,73%,22,15%,18,12%,8,Jiu-Jitsu,41.00,14,8,0
Marcos Conrado Junior,,https://www.ufc.com/athlete/marcos-conrado-junior,Heavyweight Division,0-0-0 (W-L-D),Active,,,40,,212.50,"Apr. 20, 2023",,,,,,,,,,,,,0,,,,,,,NA,NA,NA,NA,NA,NA,NA,,,0,0,0
Bob Cook,,https://www.ufc.com/athlete/brayen-kobb-2,Lightweight Division,0-0-0 (W-L-D),Not Fighting,"Fresno, United States",,,0.00,0.00,"Mar. 10, 2000",,,,,,,,,,,,,0,,,,,,,NA,NA,NA,NA,NA,NA,NA,,,0,0,0
Amanda Cooper,ABC,https://www.ufc.com/athlete/amanda-cooper,Women's Strawweight Division,4-5-0 (W-L-D),Not Fighting,"Lansing, United States",,31,63.00,116.00,"Jul. 09, 2016",64.00,174,394,3,13,3.55,3.20,1.53,1.83,52%,29%,0.00,491,112,7,55,1,1,2,134,77%,23,13%,17,10%,NA,,36.00,4,5,0
Kit Cope,Havoc,https://www.ufc.com/athlete/kit-cope,Welterweight Division,0-0-0 (W-L-D),Not Fighting,"Mesa, United States",,45,72.00,170.00,"Nov. 05, 2005",,10,19,,,1.18,2.12,0.00,3.53,36%,50%,0.00,255,3,5,2,0,0,0,7,70%,2,20%,1,10%,NA,,,0,0,0
Chris Cope,C-Murder,https://www.ufc.com/athlete/chris-cope,Welterweight Division,5-4-0 (W-L-D),Not Fighting,"Carmel Valley, United States",,39,0.00,171.00,"Jun. 05, 2011",,87,330,,1,3.96,4.82,0.00,0.00,50%,80%,0.00,440,74,13,0,0,0,0,37,43%,24,28%,26,30%,NA,,,5,4,0
Josh Copeland,Cuddly Bear,https://www.ufc.com/athlete/josh-copeland,Heavyweight Division,9-2-0 (W-L-D),Not Fighting,United States,,40,73.00,264.00,"Nov. 22, 2014",75.00,29,92,,,1.03,3.01,0.00,0.00,55%,57%,0.00,846,19,10,0,3,2,4,20,69%,8,28%,1,3%,NA,,,9,2,0
Michael Cora,,https://www.ufc.com/athlete/michael-cora,Welterweight Division,4-2-0 (W-L-D),Active,"New York, United States",,33,71.00,171.00,"Jul. 18, 2017",77.00,12,42,,,0.80,0.13,0.00,0.00,67%,25%,0.00,900,2,1,9,4,0,0,12,100%,0,0%,0,0%,NA,,41.00,4,2,0
Akira Corassani,,https://www.ufc.com/athlete/akira-corassani,Featherweight Division,14-7-1 (W-L-D),Not Fighting,United States,,40,68.00,145.00,"Sep. 29, 2012",67.00,139,307,,7,3.25,4.91,0.70,0.00,50%,87%,0.00,427,121,18,0,1,9,3,80,58%,28,20%,31,22%,NA,,,14,7,1
Cory Corbin,Hamma,https://www.ufc.com/athlete/cory-corbin,NA,NA,Not Fighting,,,36,,254.00,"Apr. 20, 2023",,,,,,,,,,,,,0,,,,,,,NA,NA,NA,NA,NA,NA,NA,,,0,0,0
Daniel Cormier,DC,https://www.ufc.com/athlete/daniel-cormier,Heavyweight Division,22-3-0 (W-L-D),Retired,"Lafayette, United States",AKA (American Kickboxing Academy) San Jose,43,71.00,236.00,"May. 20, 2012",72.50,1216,2310,17,78,4.25,2.92,1.83,0.42,55%,80%,0.26,747,722,258,236,10,7,5,903,74%,168,14%,145,12%,NA,,41.50,22,3,0
Bethe Correia,Pitbull,https://www.ufc.com/athlete/bethe-correia,Women's Bantamweight Division,11-6-1 (W-L-D),Not Fighting,"Campina Grande, Brazil",,39,65.00,138.50,"Dec. 07, 2013",64.00,664,1515,3,22,4.37,4.93,0.39,0.00,56%,86%,0.00,760,573,87,4,2,9,0,381,57%,163,25%,120,18%,NA,Kickboxer,36.50,11,6,1
Wesley Correira,Cabbage,https://www.ufc.com/athlete/wesley-correira,Heavyweight Division,14-8-0 (W-L-D),Not Fighting,"Hilo, United States",,44,74.00,265.00,"Sep. 27, 2002",,65,160,,1,2.96,10.33,0.00,0.00,41%,91%,0.68,330,33,31,1,0,0,0,57,88%,5,8%,3,5%,NA,,,14,8,0
