Name,Nickname,URL,Division,Record,Status,Place of Birth,Trains at,Age,Height,Weight,Octagon Debut,Reach,Sig. Strikes Landed,Sig. Strikes Attempted,Takedowns Landed,Takedowns Attempted,Sig. Str. Landed Per Min,Sig. Str. Absorbed Per Min,Takedown avg Per 15 Min,Submission avg Per 15 Min,Sig. Str. Defense,Takedown Defense,Knockdown Avg,Average fight time,Standing,Clinch,Ground,KO/TKO,DEC,SUB,head total,head percent,body total,body percent,leg total,leg percent,First Round Finishes,Fighting style,Leg reach,wins,losses,draws
Charles McCarthy,Chainsaw,https://www.ufc.com/athlete/charles-mccarthy,Middleweight Division,10-5-0 (W-L-D),Not Fighting,"Miami, United States",,42,72.00,186.00,"Jun. 04, 2005",,3,25,,5,0.18,4.03,2.67,2.67,56%,NA,0.00,338,2,1,0,0,0,0,1,33%,1,33%,1,33%,NA,,,10,5,0
Sean McCorkle,Big Sexy,https://www.ufc.com/athlete/sean-mccorkle,Heavyweight Division,10-2-0 (W-L-D),Not Fighting,"Indianapolis, United States",,46,79.00,266.00,"Sep. 25, 2010",,12,27,,5,0.85,2.48,2.12,4.25,52%,33%,0.00,283,5,0,7,0,0,0,10,83%,2,17%,0,0%,NA,,,10,2,0
Kris McCray,Savage,https://www.ufc.com/athlete/kris-mccray,Welterweight Division,6-3-0 (W-L-D),Not Fighting,"Schweinfurt Army Garrison, United States",,41,72.00,170.00,"Jun. 19, 2010",,70,154,,9,2.69,2.57,2.88,0.00,55%,38%,0.00,521,30,25,15,0,0,0,27,39%,29,41%,14,20%,NA,,,6,3,0
Tamdan McCrory,The Barn Cat,https://www.ufc.com/athlete/tamdan-mccrory,Middleweight Division,14-5-0 (W-L-D),Not Fighting,"Ithaca, United States","Team Balance - Binghamton, NY",36,76.00,185.00,"Jun. 12, 2007",78.00,163,332,,24,2.07,1.60,2.28,2.47,47%,33%,0.00,474,62,33,68,0,0,0,112,69%,31,19%,20,12%,NA,,,14,5,0
Justin McCully,The Nsane1,https://www.ufc.com/athlete/justin-mccully,Heavyweight Division,9-5-2 (W-L-D),Not Fighting,"Washington, United States",,46,74.00,238.00,"Apr. 05, 2007",,74,195,,9,1.58,2.02,1.28,0.00,47%,44%,0.32,704,33,23,18,0,0,0,57,77%,4,5%,13,18%,NA,,,9,5,2
Bubba McDaniel,The Menace,https://www.ufc.com/athlete/bubba-mcdaniel,Middleweight Division,21-8-0 (W-L-D),Not Fighting,"Childress, United States",,39,75.00,184.50,"Apr. 14, 2013",75.00,53,120,,4,1.64,1.98,0.93,1.39,57%,50%,0.00,647,32,8,13,4,1,16,34,64%,10,19%,9,17%,NA,,,21,8,0
Michael McDonald,Mayday,https://www.ufc.com/athlete/michael-mcdonald,Bantamweight Division,17-4-0 (W-L-D),Not Fighting,"Modesto, United States",Last Stand Fight Team,32,69.00,135.00,"Mar. 27, 2011",70.00,223,521,,9,2.69,2.76,1.09,1.45,57%,52%,1.09,497,184,20,19,0,0,0,177,79%,24,11%,22,10%,NA,,39.00,17,4,0
Drew McFedries,The Massacre,https://www.ufc.com/athlete/drew-mcfedries,Middleweight Division,8-6-0 (W-L-D),Not Fighting,"Ames, United States",,44,72.00,185.00,"Nov. 18, 2006",,108,211,,2,5.13,4.56,1.42,0.71,52%,56%,4.27,140,57,26,25,0,0,0,84,78%,13,12%,11,10%,NA,,,8,6,0
Gan McGee,The Giant,https://www.ufc.com/athlete/gan-mcgee,Heavyweight Division,12-2-0 (W-L-D),Not Fighting,"Bismarck, United States",,46,82.00,264.00,"Nov. 17, 2000",,43,127,,8,2.02,5.03,1.41,0.00,59%,83%,0.00,319,26,2,15,0,0,0,36,84%,4,9%,3,7%,NA,,,12,2,0
Court McGee,The Crusher,https://www.ufc.com/athlete/court-mcgee,Welterweight Division,22-11-0 (W-L-D),Active,"Ogden, United States",Agema Jiu-Jitsu,38,71.00,170.00,"Jun. 19, 2010",75.50,1243,3340,23,131,4.68,3.69,1.86,0.45,61%,70%,0.17,798,1050,78,115,5,11,6,674,54%,261,21%,308,25%,NA,Freestyle,41.50,22,11,0
Ryan McGilivray,The Kid,https://www.ufc.com/athlete/ryan-mcgilivray,Welterweight Division,11-5-1 (W-L-D),Not Fighting,"Edmonton, Canada",,36,71.00,169.00,"Jun. 05, 2011",,19,91,,1,1.27,2.20,0.00,0.00,52%,44%,0.00,900,18,0,1,0,0,0,17,89%,2,11%,0,0%,NA,,,11,5,1
Jack McGlaughlin,,https://www.ufc.com/athlete/taddeus-laster-1,,0-0-0 (W-L-D),Not Fighting,United States,,,0.00,0.00,"Jul. 14, 1995",,,,,,,,,,,,,0,,,,,,,NA,NA,NA,NA,NA,NA,NA,,,0,0,0
Conor McGregor,The Notorious,https://www.ufc.com/athlete/conor-mcgregor,Lightweight Division,22-6-0 (W-L-D),Active,"Dublin, Ireland",SBG Ireland,34,69.00,156.00,"Apr. 06, 2013",74.00,599,1204,,9,5.32,4.66,0.67,0.13,54%,67%,1.73,482,461,61,77,19,2,1,419,70%,102,17%,78,13%,NA,,40.00,22,6,0
Andrew McInnes,,https://www.ufc.com/athlete/andrew-mcinnes,NA,NA,Not Fighting,,,,,,"Apr. 20, 2023",,,,,,,,,,,,,0,,,,,,,NA,NA,NA,NA,NA,NA,NA,,,0,0,0
Antonio McKee,,https://www.ufc.com/athlete/antonio-mckee,Lightweight Division,25-4-2 (W-L-D),Not Fighting,United States,,52,68.00,156.00,"Jan. 02, 2011",,28,61,,6,1.37,0.74,1.47,0.00,74%,57%,0.00,708,19,5,4,0,0,0,14,50%,11,39%,3,11%,NA,,,25,4,2
Rhys McKee,Skeletor,https://www.ufc.com/athlete/rhys-mckee,Welterweight Division,10-4-0 (W-L-D),Not Fighting,"Ballymena, Ireland",,27,74.00,170.50,"Jul. 25, 2020",78.00,124,230,,3,6.83,11.90,0.00,0.00,44%,20%,0.00,545,117,6,1,7,0,3,81,65%,36,29%,7,6%,NA,,42.00,10,4,0
Cory McKenna,Poppins,https://www.ufc.com/athlete/cory-mckenna,Women's Strawweight Division,8-2-0 (W-L-D),Active,"Wales, United Kingdom",Team Alpha Male,23,63.00,115.50,"Nov. 14, 2020",58.50,199,495,,16,3.01,3.22,2.04,0.45,49%,71%,0.00,793,150,14,35,2,4,2,180,90%,11,6%,8,4%,2,MMA,36.00,8,2,0
Tim McKenzie,Wrecking Machine,https://www.ufc.com/athlete/tim-mckenzie,Middleweight Division,12-6-0 (W-L-D),Not Fighting,"Santa Clara, United States",,40,72.00,185.00,"Apr. 01, 2009",,20,37,,1,1.37,2.96,0.00,2.06,45%,29%,0.00,291,7,2,11,0,0,0,14,70%,3,15%,3,15%,NA,,,12,6,0
Cody McKenzie,,https://www.ufc.com/athlete/cody-mckenzie,Lightweight Division,14-4-0 (W-L-D),Not Fighting,"Cordova, United States",,35,72.00,155.00,"Dec. 05, 2010",72.00,94,274,,36,1.74,2.50,2.50,2.50,67%,14%,0.00,463,67,12,15,0,0,0,73,78%,12,13%,9,10%,NA,,,14,4,0
Terrance McKinney,T. Wrecks,https://www.ufc.com/athlete/terrance-mckinney,Lightweight Division,13-5-0 (W-L-D),Active,United States,Warrior Camp,28,70.00,156.00,"Jun. 12, 2021",73.50,83,172,,12,3.78,2.96,3.41,1.37,43%,83%,1.37,220,48,9,26,5,0,8,68,82%,15,18%,0,0%,12,MMA,40.00,13,5,0
Garreth McLellan,Soldierboy,https://www.ufc.com/athlete/garreth-mclellan,Middleweight Division,13-6-0 (W-L-D),Not Fighting,South Africa,"Fight Fit Militia- Sunnighill, Johannesburg",41,73.00,184.00,"Apr. 11, 2015",72.00,185,340,,18,3.56,2.94,1.15,0.86,45%,35%,0.00,624,58,33,94,3,0,9,120,65%,40,22%,25,14%,NA,,41.00,13,6,0
Sara McMann,,https://www.ufc.com/athlete/sara-mcmann,Women's Bantamweight Division,13-6-0 (W-L-D),Not Fighting,"Takoma Park, United States",Revolution MMA,42,66.00,135.00,"Apr. 27, 2013",66.00,410,885,,81,2.26,1.92,4.38,0.50,48%,50%,0.08,641,153,89,168,2,7,4,253,62%,100,24%,57,14%,4,Wrestler,37.00,13,6,0
James McSweeney,The Hammer,https://www.ufc.com/athlete/james-mcsweeney,Light Heavyweight Division,13-7-0 (W-L-D),Not Fighting,"London, United Kingdom",,42,76.00,205.00,"Dec. 05, 2009",,113,205,,3,3.94,4.33,0.52,1.05,42%,100%,0.00,573,61,21,31,0,0,0,62,55%,31,27%,20,18%,NA,,,13,7,0
Tim Means,The Dirty Bird,https://www.ufc.com/athlete/tim-means,Welterweight Division,32-14-1 (W-L-D),Active,"Wilburton, United States","FIT NHB Albuquerque, NM",38,74.00,170.50,"Feb. 15, 2012",75.00,1301,2708,8,48,4.91,3.58,1.13,0.17,61%,66%,0.51,612,1020,160,121,19,8,5,800,61%,351,27%,150,12%,4,Striker,43.50,32,14,1
Yancy Medeiros,,https://www.ufc.com/athlete/yancy-medeiros,Lightweight Division,15-8-0 (W-L-D),Not Fighting,"Makaha, United States",Nick Diaz Academy,35,70.00,155.50,"Apr. 27, 2013",75.50,600,1608,1,6,4.36,5.67,0.33,0.65,47%,74%,0.98,508,503,59,38,8,3,4,390,65%,146,24%,64,11%,NA,Kickboxer,41.00,15,8,0
Anistavio Medeiros,Gasparzinho,https://www.ufc.com/athlete/andzhela-khill-1,Featherweight Division,15-8-0 (W-L-D),Not Fighting,"Natal, Brazil",,34,66.00,146.00,"Jun. 24, 2012",,8,18,,,3.64,5.00,0.00,0.00,48%,NA,0.00,132,8,0,0,0,0,0,2,25%,0,0%,6,75%,NA,,,15,8,0
Uroš Medić,The Doctor,https://www.ufc.com/athlete/uros-medic,Lightweight Division,8-1-0 (W-L-D),Active,"Novi Sad, Serbia",Kings MMA,29,73.00,156.00,"Mar. 06, 2021",71.00,130,196,,,8.14,3.76,0.00,0.00,59%,67%,4.70,240,71,5,54,6,0,2,83,64%,25,19%,22,17%,6,MMA,43.00,8,1,0
Todd Medina,,https://www.ufc.com/athlete/kodi-makkenzi-1,,0-0-0 (W-L-D),Not Fighting,"Santa Ana, United States",,,0.00,0.00,"Apr. 07, 1995",,,,,,,,,,,,,0,,,,,,,NA,NA,NA,NA,NA,NA,NA,,,0,0,0
Emil Meek,Valhalla,https://www.ufc.com/athlete/emil-meek,Welterweight Division,9-5-1 (W-L-D),Not Fighting,"Trondheim, Norway",Frontline Academy - Oslo,34,71.00,170.50,"Dec. 11, 2016",74.50,151,383,1,3,2.52,2.53,0.25,1.00,39%,48%,0.00,900,77,29,45,7,1,1,100,66%,35,23%,16,11%,NA,,40.50,9,5,1
Alton Meeks,Murda,https://www.ufc.com/athlete/alton-meeks,Heavyweight Division,3-0-0 (W-L-D),Active,"Gainesville, United States",,28,75.00,262.00,"Apr. 20, 2023",,3,7,,8,0.71,4.47,7.06,0.00,39%,NA,0.00,255,2,1,0,0,0,0,2,67%,1,33%,0,0%,NA,Wrestling,,3,0,0
Gerald Meerschaert,GM3,https://www.ufc.com/athlete/gerald-meerschaert,Middleweight Division,35-16-0 (W-L-D),Active,"Racine, United States",,35,73.00,200.40,"Dec. 10, 2016",77.50,441,1006,6,53,3.11,3.47,2.12,1.69,53%,29%,0.32,472,344,52,45,6,2,27,315,71%,82,19%,44,10%,15,Freestyle,40.00,35,16,0
Jordan Mein,Young Gun,https://www.ufc.com/athlete/jordan-mein,Welterweight Division,30-12-0 (W-L-D),Not Fighting,"Lethbridge, Canada",,33,72.00,169.00,"Jan. 08, 2012",73.00,450,1008,14,24,3.35,2.55,1.56,0.22,69%,67%,0.34,671,353,41,56,16,7,7,316,70%,56,12%,78,17%,NA,,41.00,30,12,0
Brian Melancon,,https://www.ufc.com/athlete/brian-melancon,Welterweight Division,7-3-0 (W-L-D),Not Fighting,"Houston, United States",,40,68.00,170.00,"Jul. 06, 2013",72.00,31,63,,1,4.18,3.64,2.02,0.00,65%,67%,2.02,223,20,1,10,0,0,0,22,71%,5,16%,4,13%,NA,,,7,3,0
Gilbert Melendez,El Niño,https://www.ufc.com/athlete/gilbert-melendez,Lightweight Division,22-8-0 (W-L-D),Not Fighting,"Santa Ana, United States","El Nino Training Center - San Francisco, CA",40,69.00,145.50,"May. 20, 2012",73.00,1292,3892,3,99,3.44,2.53,1.64,0.20,63%,72%,0.24,914,806,158,328,12,10,0,1031,80%,194,15%,67,5%,NA,,40.00,22,8,0
Brandon Melendez,The Murderer,https://www.ufc.com/athlete/brandon-melendez,Lightweight Division,11-5-0 (W-L-D),Not Fighting,"Bountiful, United States",,39,70.00,157.00,"Jun. 23, 2007",,6,23,,,0.84,0.56,0.00,0.00,64%,25%,0.00,429,5,0,1,0,0,0,5,83%,1,17%,0,0%,NA,,,11,5,0
Marcello Mello,,https://www.ufc.com/athlete/taddeus-laster-2,Lightweight Division,0-0-0 (W-L-D),Not Fighting,United States,,,0.00,0.00,"May. 07, 1999",,,,,,,,,,,,,0,,,,,,,NA,NA,NA,NA,NA,NA,NA,,,0,0,0
Vanessa Melo,,https://www.ufc.com/athlete/vanessa-melo,Women's Bantamweight Division,11-8-0 (W-L-D),Not Fighting,"Taboao da Serra, Brazil",,34,65.00,136.00,"Sep. 21, 2019",65.00,209,679,,3,3.48,6.13,0.00,0.00,59%,71%,0.00,900,199,8,2,0,9,2,145,69%,30,14%,34,16%,NA,MMA,37.00,11,8,0
Antonio Mendes,Samuray,https://www.ufc.com/athlete/antonio-mendes,Light Heavyweight Division,14-4-0 (W-L-D),Not Fighting,United States,,41,75.00,204.00,"May. 24, 2008",,8,17,,2,1.34,6.85,2.51,0.00,23%,100%,2.51,180,4,3,1,0,0,0,3,38%,4,50%,1,13%,NA,,,14,4,0
Chad Mendes,Money,https://www.ufc.com/athlete/chad-mendes,Featherweight Division,18-5-0 (W-L-D),Retired,"Hanford, United States",Team Alpha Male  (Urijah Faber's Ultimate Fitness),37,66.00,146.00,"Feb. 05, 2011",66.00,454,910,24,81,2.78,2.35,4.13,0.28,67%,100%,0.73,545,286,30,138,8,8,2,312,69%,40,9%,102,22%,4,,37.50,18,5,0
Augusto Mendes,Tanquinho,https://www.ufc.com/athlete/augusto-mendes,Bantamweight Division,6-2-0 (W-L-D),Not Fighting,"Rio De Janeiro, Brazil",,39,66.00,135.00,"Feb. 22, 2016",65.00,83,238,4,12,2.42,3.91,1.75,0.00,56%,80%,0.44,686,64,17,2,1,1,4,54,65%,13,16%,16,19%,NA,,36.00,6,2,0
Eddie Mendez,,https://www.ufc.com/athlete/eddie-mendez,Middleweight Division,0-0-0 (W-L-D),Not Fighting,"Van Nuys, United States",,39,70.00,184.00,"Jun. 08, 2013",,4,12,,,1.71,3.43,0.00,0.00,11%,NA,0.00,140,4,0,0,0,0,0,3,75%,0,0%,1,25%,NA,,,0,0,0
Mateus Mendonça,Bocao,https://www.ufc.com/athlete/mateus-mendonca,Bantamweight Division,10-1-0 (W-L-D),Active,"Pindaré Mirim, Brazil",Chute Boxe,24,66.00,134.50,"Jan. 14, 2023",71.50,38,100,2,11,2.41,6.27,1.90,0.00,29%,40%,1.90,474,33,2,3,3,3,4,26,68%,4,11%,8,21%,7,Jiu-Jitsu,39.00,10,1,0
Pietro Menga,The Italian Stallion,https://www.ufc.com/athlete/pietro-menga,Flyweight Division,13-0-0 (W-L-D),Not Fighting,"Salford, United Kingdom",,,67.00,143.00,"Apr. 20, 2023",68.00,,,,,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,3,2,8,0,0%,0,0%,0,0%,NA,,36.00,13,0,0
Alonzo Menifield,Atomic,https://www.ufc.com/athlete/alonzo-menifield,Light Heavyweight Division,13-3-1 (W-L-D),Active,"Los Angeles, United States",,35,72.00,206.00,"Jan. 19, 2019",76.00,347,602,,13,3.88,3.04,0.67,0.17,53%,75%,0.84,413,235,49,63,10,1,2,291,84%,27,8%,29,8%,10,Freestyle,41.00,13,3,1
Ivan Menjivar,The Pride of El Salvador,https://www.ufc.com/athlete/ivan-menjivar,Featherweight Division,25-12-0 (W-L-D),Not Fighting,United States,,40,66.00,146.00,"Jun. 19, 2004",,299,790,,14,2.78,2.76,0.56,0.98,66%,39%,0.28,586,204,55,40,0,0,0,172,58%,71,24%,56,19%,NA,,,25,12,0
Dave Menne,The Warrior,https://www.ufc.com/athlete/darrik-minner-2,Welterweight Division,35-6-1 (W-L-D),Retired,"Forest Lake, United States",,48,70.00,171.00,"Mar. 10, 2000",,121,272,,4,1.84,1.99,0.46,2.51,43%,57%,0.00,658,58,40,23,0,0,0,57,47%,24,20%,40,33%,NA,,,35,6,1
Joe Merritt,Joey Slash,https://www.ufc.com/athlete/joe-merritt,Welterweight Division,7-1-0 (W-L-D),Not Fighting,United States,,38,72.00,169.00,"Apr. 20, 2023",73.00,23,39,,2,1.53,0.73,0.00,0.00,67%,69%,0.00,900,4,8,11,0,0,0,16,70%,3,13%,4,17%,NA,,,7,1,0
Jonathan Meunier,The French Spider,https://www.ufc.com/athlete/jonathan-meunier,Welterweight Division,8-1-0 (W-L-D),Not Fighting,"Québec City, Canada",Tristar Gym - Montreal,35,75.00,171.00,"Jun. 19, 2016",75.00,90,178,1,3,3.47,1.43,0.58,0.00,70%,59%,0.00,777,63,16,11,5,1,2,49,54%,14,16%,27,30%,NA,,43.00,8,1,0
Yaotzin Meza,,https://www.ufc.com/athlete/yaotzin-meza,Featherweight Division,21-11-0 (W-L-D),Not Fighting,"Santa Ana, United States",,42,69.00,144.00,"Dec. 16, 2012",74.00,121,294,,30,1.43,1.62,1.06,1.42,65%,18%,0.00,726,100,11,10,6,9,6,55,45%,24,20%,42,35%,NA,,39.00,21,11,0
Guy Mezger,,https://www.ufc.com/athlete/guy-mezger,Middleweight Division,44-13-6 (W-L-D),Retired,"Dallas, United States",,55,73.00,199.00,"Dec. 16, 1994",,,,,,,,,,,,,0,,,,,,,NA,NA,NA,NA,NA,NA,NA,,,44,13,6
Andreas Michailidis,The Spartan,https://www.ufc.com/athlete/andreas-michailidis,Welterweight Division,13-6-0 (W-L-D),Not Fighting,"Athens, Greece",,34,72.00,170.50,"Jul. 15, 2020",76.00,117,227,3,11,2.90,3.57,1.12,0.00,44%,50%,0.00,605,98,13,6,7,2,4,64,55%,31,26%,22,19%,9,MMA,41.00,13,6,0
David Michaud,BullDawg,https://www.ufc.com/athlete/david-michaud,Lightweight Division,8-1-0 (W-L-D),Not Fighting,United States,,34,69.00,156.00,"May. 24, 2014",72.00,135,313,,12,3.25,4.45,2.53,0.72,54%,77%,0.00,832,88,21,26,3,2,3,99,73%,28,21%,8,6%,NA,,,8,1,0
Christophe Midoux,The French Hurricane,https://www.ufc.com/athlete/christophe-midoux,Heavyweight Division,9-5-0 (W-L-D),Not Fighting,"Nice, France",,48,73.00,224.00,"Aug. 17, 2006",,2,10,,,0.34,4.94,0.00,0.00,49%,NA,0.00,352,0,2,0,0,0,0,2,100%,0,0%,0,0%,NA,,,9,5,0
Keith Mielke,,https://www.ufc.com/athlete/keith-mielke,,0-0-0 (W-L-D),Not Fighting,United States,,,0.00,0.00,"Feb. 16, 1996",,,,,,,,,,,,,0,,,,,,,NA,NA,NA,NA,NA,NA,NA,,,0,0,0
Bojan Mihajlovic,,https://www.ufc.com/athlete/bojan-mihajlovic,Heavyweight Division,10-5-0 (W-L-D),Not Fighting,"Odzaci, Serbia","Family Fight Team (Novi Sad, SERBIA)",42,71.00,205.00,"Jul. 24, 2016",73.00,26,73,,1,1.23,5.95,0.00,0.00,48%,33%,0.00,424,21,5,0,4,4,2,7,27%,9,35%,10,38%,NA,,41.00,10,5,0
Billy Miles,The Kid,https://www.ufc.com/athlete/billy-miles,Welterweight Division,2-2-0 (W-L-D),Not Fighting,"Lincoln, United States",,44,70.00,170.00,"Dec. 09, 2007",,0,3,,2,0.00,1.25,0.00,0.00,33%,NA,0.00,96,0,0,0,0,0,0,0,0%,0,0%,0,0%,NA,,,2,2,0
Pat Miletich,The Croatian Sensation,https://www.ufc.com/athlete/pat-miletich,Middleweight Division,27-5-2 (W-L-D),Not Fighting,"Davenport, United States",,56,70.00,183.00,"Mar. 13, 1998",,55,122,,4,1.79,1.66,1.96,0.98,64%,55%,0.49,460,36,8,11,0,0,0,38,69%,6,11%,11,20%,NA,,,27,5,2
Curtis Millender,Curtious,https://www.ufc.com/athlete/curtis-millender,Welterweight Division,17-5-0 (W-L-D),Not Fighting,"Los Angeles, United States",,35,74.00,170.50,"Feb. 18, 2018",76.00,269,582,1,2,3.86,2.95,0.43,0.00,61%,57%,0.43,635,254,10,5,6,11,0,155,58%,43,16%,71,26%,NA,,45.00,17,5,0
Cole Miller,Magrinho,https://www.ufc.com/athlete/cole-miller,Featherweight Division,21-11-0 (W-L-D),Not Fighting,"Augusta, United States","American Top Team ATT Coconut Creek, FL",38,73.00,146.00,"Jun. 23, 2007",74.00,605,1816,,22,3.00,3.88,0.60,1.79,59%,39%,0.30,605,476,70,59,0,0,0,421,70%,103,17%,81,13%,NA,,41.00,21,11,0
Phillip Miller,,https://www.ufc.com/athlete/phillip-miller,Middleweight Division,15-0-0 (W-L-D),Not Fighting,"Salt Lake City, United States",,43,72.00,185.00,"Jul. 13, 2002",,40,74,,24,1.61,1.93,3.62,0.60,51%,100%,0.00,745,8,7,25,0,0,0,30,75%,8,20%,2,5%,NA,,,15,0,0
Jason Miller,Mayhem,https://www.ufc.com/athlete/jason-miller,Welterweight Division,24-10-0 (W-L-D),Not Fighting,"Atlanta, United States",,42,73.00,185.00,"Apr. 16, 2005",,85,255,2,24,1.45,4.51,1.02,1.28,49%,44%,0.00,879,61,11,13,0,0,0,45,53%,28,33%,12,14%,NA,,,24,10,0
Jim Miller,A-10,https://www.ufc.com/athlete/jim-miller,Lightweight Division,35-17-0 (W-L-D),Active,"Newton, United States","Miller Brothers MMA- Sparta, NJ",39,68.00,167.00,"Oct. 18, 2008",71.00,1150,2772,36,97,2.85,3.08,1.56,1.75,58%,48%,0.19,590,796,185,169,6,10,19,672,58%,240,21%,238,21%,NA,Jiu-Jitsu,40.00,35,17,0
Dan Miller,,https://www.ufc.com/athlete/dan-miller,Middleweight Division,14-8-0 (W-L-D),Not Fighting,United States,,41,73.00,184.00,"Sep. 17, 2008",74.00,309,850,,31,2.03,3.06,1.67,1.77,50%,47%,0.20,610,215,44,50,0,0,0,200,65%,65,21%,44,14%,NA,,,14,8,0
Juliana Miller,Killer,https://www.ufc.com/athlete/juliana-miller,Women's Flyweight Division,4-2-0 (W-L-D),Active,"San Diego, United States",10th Planet Jiu-Jitsu,26,67.00,125.50,"Aug. 06, 2022",66.00,84,164,4,7,2.90,3.18,2.07,2.07,26%,NA,0.00,869,47,11,26,1,0,3,63,75%,14,17%,7,8%,2,MMA,37.00,4,2,0
Mo Miller,,https://www.ufc.com/athlete/mo-miller,Bantamweight Division,1-0-0 (W-L-D),Active,"Plainfield, United States",,30,68.00,135.50,"Apr. 20, 2023",72.50,28,61,,5,1.87,1.33,4.00,0.00,61%,NA,0.00,900,22,0,6,0,0,0,23,82%,4,14%,1,4%,NA,,40.00,1,0,0
Che Mills,Beautiful,https://www.ufc.com/athlete/che-mills,Welterweight Division,15-6-0 (W-L-D),Not Fighting,"Gloucester, United Kingdom",,40,73.00,170.00,"Nov. 05, 2011",,53,101,,3,2.08,2.87,1.18,0.00,43%,59%,1.18,382,22,16,15,0,0,0,29,55%,6,11%,18,34%,NA,,,15,6,0
Adam Milstead,The Prototype,https://www.ufc.com/athlete/adam-milstead,Light Heavyweight Division,8-3-0 (W-L-D),Not Fighting,"Prince Frederick, United States","Mark Chericos Martial Arts, Pittsburgh PA",35,75.00,204.00,"May. 30, 2016",76.00,127,271,,,3.85,4.79,0.00,0.00,43%,64%,0.00,495,101,22,4,6,0,2,105,83%,13,10%,9,7%,NA,,42.00,8,3,0
Alberto Mina,Soldier of God,https://www.ufc.com/athlete/alberto-mina,Welterweight Division,13-1-0 (W-L-D),Not Fighting,"Campina Grande, Brazil",Epic MMA Club - Hong Kong,40,72.00,171.00,"Aug. 23, 2014",77.50,131,336,5,24,3.23,3.70,1.85,0.00,47%,50%,1.11,609,96,14,21,6,1,6,93,71%,13,10%,25,19%,NA,,42.50,13,1,0
Zhang Mingyang,,https://www.ufc.com/athlete/zhang-mingyang,Light Heavyweight Division,1-0-0 (W-L-D),Active,"Fuyang, China",,24,,206.00,"Jun. 09, 2022",,35,62,,,8.86,5.57,0.00,0.00,59%,NA,3.80,237,30,0,5,0,0,0,24,69%,6,17%,5,14%,NA,,,1,0,0
Darrick Minner,,https://www.ufc.com/athlete/darrick-minner,Featherweight Division,26-14-0 (W-L-D),Not Fighting,"Auburn, United States",Glory MMA & Fitness,32,67.00,146.00,"Feb. 29, 2020",69.50,131,200,8,11,2.63,2.28,2.40,2.71,36%,67%,0.30,428,61,30,40,1,3,22,79,60%,33,25%,19,15%,21,Grappler,39.00,26,14,0
Ikuhisa Minowa,,https://www.ufc.com/athlete/ikuhisa-minowa,Middleweight Division,0-0-0 (W-L-D),Not Fighting,United States,,47,0.00,0.00,"Apr. 14, 2000",,,,,,,,,,,,,0,,,,,,,NA,NA,NA,NA,NA,NA,NA,,,0,0,0
Carlton Minus,Clutch,https://www.ufc.com/athlete/carlton-minus,Welterweight Division,10-3-0 (W-L-D),Not Fighting,"Urbana, United States",,29,70.00,159.00,"Aug. 22, 2020",75.00,105,262,,1,3.50,4.97,0.00,0.00,50%,59%,0.00,900,104,1,0,6,3,1,79,75%,12,11%,14,13%,NA,MMA,42.00,10,3,0
Stipe Miocic,,https://www.ufc.com/athlete/stipe-miocic,Heavyweight Division,20-4-0 (W-L-D),Active,"Euclid, United States",Strongstyle Fight Team,40,77.00,234.00,"Oct. 09, 2011",80.00,970,1821,24,73,4.82,3.82,1.86,0.00,55%,68%,0.52,671,689,117,164,15,5,0,713,74%,132,14%,125,13%,NA,,39.00,20,4,0
Frank Mir,,https://www.ufc.com/athlete/frank-mir,Heavyweight Division,18-11-0 (W-L-D),Not Fighting,"Las Vegas, United States",,43,75.00,260.00,"Nov. 02, 2001",79.00,339,721,21,52,2.18,3.84,2.02,2.02,39%,55%,0.77,346,143,113,83,0,0,0,182,54%,103,30%,54,16%,NA,,43.00,18,11,0
Mario Miranda,,https://www.ufc.com/athlete/mario-miranda,Middleweight Division,12-3-0 (W-L-D),Not Fighting,"Rio de Janeiro, Brazil",,43,76.00,185.00,"Mar. 31, 2010",,86,159,,5,1.96,2.46,1.02,0.00,37%,55%,0.34,659,26,17,43,0,0,0,54,63%,13,15%,19,22%,NA,,,12,3,0
Vitor Miranda,Lex Luthor,https://www.ufc.com/athlete/vitor-miranda,Middleweight Division,13-7-0 (W-L-D),Not Fighting,Brazil,Team Nogueira - Rio de Janeiro,43,73.00,185.00,"Apr. 20, 2023",77.00,235,512,5,9,2.98,2.95,0.95,0.19,59%,50%,0.00,675,135,39,61,10,1,2,132,56%,35,15%,68,29%,NA,,43.00,13,7,0
Gabriel Miranda,Fly,https://www.ufc.com/athlete/gabriel-miranda,Lightweight Division,16-6-0 (W-L-D),Active,"Telêmaco Borba, Brazil",,32,71.00,155.50,"Sep. 03, 2022",71.00,20,37,1,3,3.80,7.97,2.85,0.00,37%,NA,0.00,316,17,3,0,1,0,15,13,65%,7,35%,0,0%,14,Grappler,39.00,16,6,0
Kazuo Misaki,Hitman,https://www.ufc.com/athlete/kazuo-misaki,Welterweight Division,0-0-0 (W-L-D),Not Fighting,Japan,,46,70.00,170.00,"Mar. 04, 2012",,,,,,,,,,,,,0,,,,,,,NA,NA,NA,NA,NA,NA,NA,,,0,0,0
